hand_class,hero_win,villain_win,tie
AA,0.8426666666666667,0.15200000000000002,0.005333333333333333
AKs,0.6655,0.3185,0.016
AKo,0.6383333333333333,0.3461666666666667,0.0155
AQs,0.652,0.32999999999999996,0.018
AQo,0.6400000000000001,0.3423333333333333,0.017666666666666667
AJs,0.632,0.34950000000000003,0.0185
AJo,0.6328333333333332,0.34816666666666657,0.019
ATs,0.647,0.3325,0.020499999999999997
ATo,0.6051666666666665,0.3715000000000001,0.023333333333333334
A9s,0.611,0.366,0.023
A9o,0.5970000000000001,0.3761666666666667,0.026833333333333338
A8s,0.6285,0.34550000000000003,0.026000000000000002
A8o,0.5763333333333334,0.39199999999999996,0.03166666666666667
A7s,0.5895,0.385,0.025500000000000002
A7o,0.5770000000000001,0.3886666666666667,0.034333333333333334
A6s,0.581,0.39049999999999996,0.028499999999999998
A6o,0.5481666666666667,0.4123333333333334,0.0395
A5s,0.5935,0.3675,0.03899999999999999
A5o,0.551,0.41283333333333333,0.03616666666666667
A4s,0.5549999999999999,0.4045000000000001,0.040499999999999994
A4o,0.5443333333333332,0.41300000000000003,0.04266666666666666
A3s,0.5780000000000001,0.379,0.043
A3o,0.5308333333333334,0.42850000000000005,0.04066666666666666
A2s,0.537,0.4255,0.037500000000000006
A2o,0.5095,0.44650000000000006,0.044000000000000004
KK,0.8253333333333334,0.165,0.009666666666666665
KQs,0.617,0.359,0.024
KQo,0.6045,0.37533333333333335,0.020166666666666666
KJs,0.6074999999999999,0.37150000000000005,0.020999999999999998
KJo,0.5950000000000001,0.3833333333333333,0.021666666666666667
KTs,0.6105,0.37,0.0195
KTo,0.592,0.3835,0.024500000000000004
K9s,0.5875,0.382,0.0305
K9o,0.5586666666666668,0.41183333333333344,0.0295
K8s,0.5715000000000001,0.39999999999999997,0.028499999999999998
K8o,0.5533333333333335,0.41500000000000004,0.03166666666666667
K7s,0.5485,0.415,0.036500000000000005
K7o,0.5263333333333334,0.4371666666666667,0.0365
K6s,0.5375000000000001,0.419,0.043500000000000004
K6o,0.5285000000000001,0.4331666666666667,0.03833333333333332
K5s,0.5495000000000001,0.412,0.0385
K5o,0.5133333333333333,0.4425000000000001,0.04416666666666667
K4s,0.5295000000000001,0.4295,0.040999999999999995
K4o,0.502,0.457,0.041
K3s,0.5235000000000001,0.43999999999999995,0.0365
K3o,0.49466666666666664,0.45916666666666656,0.04616666666666667
K2s,0.5095000000000001,0.44349999999999995,0.047
K2o,0.48299999999999993,0.47900000000000004,0.038
QQ,0.791,0.204,0.005000000000000001
QJs,0.5915,0.381,0.0275
QJo,0.5731666666666667,0.4003333333333334,0.026500000000000006
QTs,0.579,0.396,0.024999999999999998
QTo,0.5533333333333332,0.41783333333333333,0.028833333333333332
Q9s,0.566,0.39949999999999997,0.0345
Q9o,0.5353333333333333,0.436,0.028666666666666674
Q8s,0.5535,0.4145,0.032
Q8o,0.5190000000000001,0.44766666666666666,0.03333333333333333
Q7s,0.522,0.44,0.038
Q7o,0.4958333333333333,0.4673333333333333,0.03683333333333333
Q6s,0.533,0.43400000000000005,0.033
Q6o,0.48849999999999993,0.4683333333333333,0.043166666666666666
Q5s,0.51,0.456,0.034
Q5o,0.48266666666666663,0.4716666666666667,0.04566666666666667
Q4s,0.5005,0.4515,0.048
Q4o,0.4658333333333334,0.48849999999999993,0.04566666666666667
Q3s,0.486,0.473,0.041
Q3o,0.4605000000000001,0.49499999999999994,0.04449999999999999
Q2s,0.4745,0.494,0.0315
Q2o,0.4503333333333334,0.4991666666666666,0.05050000000000001
JJ,0.7766666666666667,0.2183333333333333,0.005
