hand,hero_win,villain_win,tie
2c2d,0.486,0.5,0.014
2c2h,0.514,0.468,0.018
2c2s,0.482,0.498,0.02
2c3c,0.326,0.602,0.072
2c3d,0.298,0.64,0.062
2c3h,0.252,0.692,0.056
2c3s,0.296,0.644,0.06
2c4c,0.35,0.614,0.036
2c4d,0.282,0.642,0.076
2c4h,0.29,0.658,0.052
2c4s,0.274,0.68,0.046
2c5c,0.382,0.57,0.048
2c5d,0.308,0.616,0.076
2c5h,0.304,0.63,0.066
2c5s,0.348,0.574,0.078
2c6c,0.356,0.588,0.056
2c6d,0.334,0.624,0.042
2c6h,0.338,0.6,0.062
2c6s,0.266,0.666,0.068
2c7c,0.354,0.604,0.042
2c7d,0.376,0.578,0.046
2c7h,0.312,0.626,0.062
2c7s,0.32,0.612,0.068
2c8c,0.376,0.554,0.07
2c8d,0.318,0.642,0.04
2c8h,0.354,0.576,0.07
2c8s,0.36,0.59,0.05
2c9c,0.406,0.554,0.04
2c9d,0.38,0.582,0.038
2c9h,0.402,0.556,0.042
2c9s,0.398,0.554,0.048
2cTc,0.452,0.504,0.044
2cTd,0.396,0.562,0.042
2cTh,0.354,0.588,0.058
2cTs,0.396,0.562,0.042
2cJc,0.43,0.522,0.048
2cJd,0.394,0.57,0.036
2cJh,0.426,0.526,0.048
2cJs,0.458,0.478,0.064
2cQc,0.466,0.488,0.046
2cQd,0.432,0.5,0.068
2cQh,0.45,0.498,0.052
2cQs,0.462,0.486,0.052
2cKc,0.534,0.43,0.036
2cKd,0.484,0.48,0.036
2cKh,0.47,0.484,0.046
2cKs,0.498,0.464,0.038
2cAc,0.528,0.444,0.028
2cAd,0.48,0.486,0.034
2cAh,0.492,0.454,0.054
2cAs,0.526,0.424,0.05
2d2h,0.504,0.482,0.014
2d2s,0.514,0.466,0.02
2d3c,0.272,0.65,0.078
2d3d,0.308,0.62,0.072
2d3h,0.278,0.652,0.07
2d3s,0.306,0.64,0.054
2d4c,0.322,0.598,0.08
2d4d,0.296,0.632,0.072
2d4h,0.306,0.64,0.054
2d4s,0.294,0.662,0.044
2d5c,0.322,0.61,0.068
2d5d,0.358,0.586,0.056
2d5h,0.308,0.638,0.054
2d5s,0.358,0.594,0.048
2d6c,0.33,0.614,0.056
2d6d,0.348,0.6,0.052
2d6h,0.34,0.596,0.064
2d6s,0.3,0.638,0.062
2d7c,0.332,0.61,0.058
2d7d,0.354,0.596,0.05
2d7h,0.288,0.668,0.044
2d7s,0.306,0.63,0.064
2d8c,0.306,0.648,0.046
2d8d,0.376,0.576,0.048
2d8h,0.348,0.604,0.048
2d8s,0.302,0.658,0.04
2d9c,0.34,0.598,0.062
2d9d,0.404,0.556,0.04
2d9h,0.356,0.602,0.042
2d9s,0.366,0.566,0.068
2dTc,0.416,0.546,0.038
2dTd,0.436,0.512,0.052
2dTh,0.346,0.602,0.052
2dTs,0.392,0.576,0.032
2dJc,0.444,0.532,0.024
2dJd,0.474,0.482,0.044
2dJh,0.43,0.54,0.03
2dJs,0.422,0.53,0.048
2dQc,0.446,0.48,0.074
2dQd,0.492,0.494,0.014
2dQh,0.48,0.488,0.032
