hand_class,hero_win,villain_win,tie
AA,0.852,0.127,0.021
KK,0.82,0.15,0.03
QQ,0.798,0.17,0.032
JJ,0.773,0.194,0.033
TT,0.748,0.218,0.034
99,0.72,0.246,0.034
88,0.692,0.274,0.034
77,0.662,0.304,0.034
66,0.631,0.335,0.034
55,0.599,0.367,0.034
44,0.566,0.4,0.034
33,0.532,0.434,0.034
22,0.498,0.468,0.034
AKs,0.673,0.297,0.03
AQs,0.655,0.315,0.03
AJs,0.638,0.332,0.03
ATs,0.62,0.35,0.03
A9s,0.602,0.368,0.03
A8s,0.584,0.386,0.03
A7s,0.566,0.404,0.03
A6s,0.548,0.422,0.03
A5s,0.575,0.395,0.03
A4s,0.571,0.399,0.03
A3s,0.567,0.403,0.03
A2s,0.563,0.407,0.03
KQs,0.604,0.366,0.03
KJs,0.587,0.383,0.03
KTs,0.569,0.401,0.03
K9s,0.551,0.419,0.03
K8s,0.533,0.437,0.03
K7s,0.515,0.455,0.03
K6s,0.497,0.473,0.03
K5s,0.479,0.491,0.03
K4s,0.461,0.509,0.03
K3s,0.443,0.527,0.03
K2s,0.425,0.545,0.03
QJs,0.566,0.404,0.03
QTs,0.548,0.422,0.03
Q9s,0.53,0.44,0.03
Q8s,0.512,0.458,0.03
Q7s,0.494,0.476,0.03
Q6s,0.476,0.494,0.03
Q5s,0.458,0.512,0.03
Q4s,0.44,0.53,0.03
Q3s,0.422,0.548,0.03
Q2s,0.404,0.566,0.03
JTs,0.528,0.442,0.03
J9s,0.51,0.46,0.03
J8s,0.492,0.478,0.03
J7s,0.474,0.496,0.03
J6s,0.456,0.514,0.03
J5s,0.438,0.532,0.03
J4s,0.42,0.55,0.03
J3s,0.402,0.568,0.03
J2s,0.384,0.586,0.03
T9s,0.5,0.47,0.03
T8s,0.482,0.488,0.03
T7s,0.464,0.506,0.03
T6s,0.446,0.524,0.03
T5s,0.428,0.542,0.03
T4s,0.41,0.56,0.03
T3s,0.392,0.578,0.03
T2s,0.374,0.596,0.03
98s,0.474,0.496,0.03
97s,0.456,0.514,0.03
96s,0.438,0.532,0.03
95s,0.42,0.55,0.03
94s,0.402,0.568,0.03
93s,0.384,0.586,0.03
92s,0.366,0.604,0.03
87s,0.448,0.522,0.03
86s,0.43,0.54,0.03
85s,0.412,0.558,0.03
84s,0.394,0.576,0.03
83s,0.376,0.594,0.03
82s,0.358,0.612,0.03
76s,0.422,0.548,0.03
75s,0.404,0.566,0.03
74s,0.386,0.584,0.03
73s,0.368,0.602,0.03
72s,0.35,0.62,0.03
65s,0.396,0.574,0.03
64s,0.378,0.592,0.03
63s,0.36,0.61,0.03
62s,0.342,0.628,0.03
54s,0.37,0.6,0.03
53s,0.352,0.618,0.03
52s,0.334,0.636,0.03
43s,0.344,0.626,0.03
42s,0.326,0.644,0.03
32s,0.318,0.652,0.03
AKo,0.65,0.32,0.03
AQo,0.632,0.338,0.03
AJo,0.614,0.356,0.03
ATo,0.596,0.374,0.03
A9o,0.578,0.392,0.03
A8o,0.56,0.41,0.03
A7o,0.542,0.428,0.03
A6o,0.524,0.446,0.03
A5o,0.551,0.419,0.03
A4o,0.547,0.423,0.03
A3o,0.543,0.427,0.03
A2o,0.539,0.431,0.03
KQo,0.58,0.39,0.03
KJo,0.562,0.408,0.03
KTo,0.544,0.426,0.03
K9o,0.526,0.444,0.03
K8o,0.508,0.462,0.03
K7o,0.49,0.48,0.03
K6o,0.472,0.498,0.03
K5o,0.454,0.516,0.03
K4o,0.436,0.534,0.03
K3o,0.418,0.552,0.03
K2o,0.4,0.57,0.03
QJo,0.542,0.428,0.03
QTo,0.524,0.446,0.03
Q9o,0.506,0.464,0.03
Q8o,0.488,0.482,0.03
Q7o,0.47,0.5,0.03
Q6o,0.452,0.518,0.03
Q5o,0.434,0.536,0.03
Q4o,0.416,0.554,0.03
Q3o,0.398,0.572,0.03
Q2o,0.38,0.59,0.03
JTo,0.504,0.466,0.03
J9o,0.486,0.484,0.03
J8o,0.468,0.502,0.03
J7o,0.45,0.52,0.03
J6o,0.432,0.538,0.03
J5o,0.414,0.556,0.03
J4o,0.396,0.574,0.03
J3o,0.378,0.592,0.03
J2o,0.36,0.61,0.03
T9o,0.476,0.494,0.03
T8o,0.458,0.512,0.03
T7o,0.44,0.53,0.03
T6o,0.422,0.548,0.03
T5o,0.404,0.566,0.03
T4o,0.386,0.584,0.03
T3o,0.368,0.602,0.03
T2o,0.35,0.62,0.03
98o,0.45,0.52,0.03
97o,0.432,0.538,0.03
96o,0.414,0.556,0.03
95o,0.396,0.574,0.03
94o,0.378,0.592,0.03
93o,0.36,0.61,0.03
92o,0.342,0.628,0.03
87o,0.424,0.546,0.03
86o,0.406,0.564,0.03
85o,0.388,0.582,0.03
84o,0.37,0.6,0.03
83o,0.352,0.618,0.03
82o,0.334,0.636,0.03
76o,0.398,0.572,0.03
75o,0.38,0.59,0.03
74o,0.362,0.608,0.03
73o,0.344,0.626,0.03
72o,0.326,0.644,0.03
65o,0.372,0.598,0.03
64o,0.354,0.616,0.03
63o,0.336,0.634,0.03
62o,0.318,0.652,0.03
54o,0.346,0.624,0.03
53o,0.328,0.642,0.03
52o,0.31,0.66,0.03
43o,0.32,0.65,0.03
42o,0.302,0.668,0.03
32o,0.294,0.676,0.03
